content,score,label
"Dark system di rank bikin cape, tim gak kompak, musuh jago. Moonton, perbaiki!",5,Negative
"Game crash pas war, bikin kalah gara-gara bug. Moonton, tolong serius perbaiki!",5,Negative
"Server MLBB bikin emosi, lag di tengah match. Moonton, kapan jaringannya stabil?",5,Negative
"Matchmaking gak adil, tim epic ketemu musuh glory. Moonton, ini game apa hukuman?",5,Negative
"Update bikin game lag, HP panas cepet. Moonton, optimasi buat HP low-end dong!",5,Negative
"Bug skill hero bikin frustrasi, gak kasih damage. Moonton, tolong perbaiki bug!",5,Negative
"Server lag bikin lose streak, padahal wifi kencang. Moonton, servernya kapan beres?",5,Negative
"Matchmaking bikin stres, tim selalu noob, musuh pro. Moonton, bikin sistem adil!",5,Negative
"Game crash tiba-tiba, bintang gak nambah. Moonton, servernya bikin player kesel!",5,Negative
"Update bikin HP low-end lag parah, Moonton, pikirin player biasa dong!",5,Negative
"Dark system di MLBB bikin cape, tim gak ngerti main. Moonton, perbaiki matchmaking!",5,Negative
"Server lag bikin kalah, ping tiba-tiba merah. Moonton, tolong stabilkan jaringan!",5,Negative
"Bug di game bikin skill gak responsif, Moonton, tolong perbaiki bug ini segera!",5,Negative
"Matchmaking gak adil, tim selalu lelet, musuh jago. Moonton, bikin sistem fair!",5,Negative
"Game lag parah, hero jalan sendiri ke tower. Moonton, bug ini bikin frustrasi!",5,Negative
"Server MLBB bikin kesel, lag di match krusial. Moonton, optimasi jaringan dong!",5,Negative
"Main solo rank susah, tim dark system terus. Moonton, perbaiki sistem tim!",5,Negative
"Game crash pas war, bikin kalah gara-gara bug. Moonton, tolong perbaiki server!",5,Negative
"Update bikin game berat, HP RAM 4 gak kuat. Moonton, bikin versi lite dong!",5,Negative
"Matchmaking bikin emosi, tim newbie, musuh pro. Moonton, tolong bikin adil!",5,Negative
"Server lag bikin lose streak, padahal sinyal bagus. Moonton, kapan beres?",5,Negative
"Bug di MLBB bikin skill delay, joystick error. Moonton, perbaiki bug ini!",5,Negative
"Matchmaking bikin stres, tim random gak ngerti main. Moonton, bikin sistem fair!",5,Negative
"Game lag parah, ping hijau tiba-tiba merah. Moonton, servernya bikin rugi!",5,Negative
"Dark system di rank bikin cape, tim gak kompak. Moonton, perbaiki matchmaking!",5,Negative
"Game crash tiba-tiba, bintang gak nambah. Moonton, servernya kapan stabil?",5,Negative
"Update bikin HP panas, lag parah. Moonton, optimasi buat HP low-end!",5,Negative
"Bug skill hero bikin frustrasi, gak kasih damage. Moonton, perbaiki bug!",5,Negative
"Server lag bikin kalah, padahal wifi stabil. Moonton, tolong perbaiki server!",5,Negative
"Matchmaking gak adil, tim epic ketemu musuh immortal. Moonton, ini siksaan!",5,Negative
"Game lag parah, skill gak responsif, hero jalan sendiri. Moonton, perbaiki!",5,Negative
"Server MLBB bikin emosi, lag di tengah match. Moonton, stabilkan jaringan!",5,Negative
"Main solo rank susah, tim dark system terus. Moonton, perbaiki sistem tim!",5,Negative
"Game crash pas war, bikin kalah gara-gara bug. Moonton, perbaiki server!",5,Negative
"Update bikin game berat, HP low-end gak kuat. Moonton, bikin versi lite!",5,Negative
"Matchmaking bikin stres, tim selalu noob, musuh pro. Moonton, bikin adil!",5,Negative
"Server lag bikin lose streak, padahal sinyal bagus. Moonton, kapan beres?",5,Negative
"Bug di MLBB bikin skill delay, joystick error. Moonton, perbaiki bug ini!",5,Negative
"Matchmaking gak adil, tim random gak ngerti main. Moonton, bikin sistem fair!",5,Negative
"Game lag parah, ping hijau tiba-tiba kuning. Moonton, servernya bikin rugi!",5,Negative
"Dark system di rank bikin cape, tim gak kompak. Moonton, perbaiki matchmaking!",5,Negative
"Game crash tiba-tiba, bintang gak nambah. Moonton, servernya kapan stabil?",5,Negative
"Update bikin HP panas, lag parah. Moonton, optimasi buat HP low-end!",5,Negative
"Bug skill hero bikin frustrasi, gak kasih damage. Moonton, perbaiki bug!",5,Negative
"Server lag bikin kalah, padahal wifi stabil. Moonton, tolong perbaiki server!",5,Negative
"Matchmaking gak adil, tim epic ketemu musuh glory. Moonton, ini hukuman?",5,Negative
"Game lag parah, skill gak responsif, hero jalan sendiri. Moonton, perbaiki!",5,Negative
"Server MLBB bikin kesel, lag di match krusial. Moonton, optimasi jaringan!",5,Negative
"Main solo rank susah, tim dark system terus. Moonton, perbaiki sistem tim!",5,Negative
"Game crash pas war, bikin kalah gara-gara bug. Moonton, perbaiki server!",5,Negative
"Update bikin game berat, HP RAM 4 gak kuat. Moonton, bikin versi lite!",5,Negative
"Matchmaking bikin emosi, tim newbie, musuh pro. Moonton, tolong bikin adil!",5,Negative
"Server lag bikin lose streak, padahal sinyal bagus. Moonton, kapan beres?",5,Negative
"Bug di MLBB bikin skill delay, joystick error. Moonton, perbaiki bug ini!",5,Negative
"[Sengaja rate 5] gw udah muak ama moonton. KEBANYAKAN BUG!!! mulai dari loading pertandingan stuck 99%, lag padahal sinyal bagus, pokoknya banyak lagi. Tolong diperhatikan bugnya, jangan kebanyakan update tapi gak ada bugfix",5,Negative
"untuk sekrng game nya kurang bagus , ada satu masalh ketika lagi masa ngeban tiba² terjadi lag yang sangat parah padahal jaringan nya Oky , semua nya Oky tapi knp tiba² bisa kek gitu . itu sering terjadi dan itu sangat menganggu terus saya coba keluar kan untk login ulang dan itu membutuhkan waktu sekitar 5 menit dan itu membuat saya jadi Afk saya sekrng cukup prihatin dengan ml yg sekrng seharusnya semakin update semakin bagus tapi ternyata tidak dan saya cukup kecewa",Negative
"matchmaking tidak seimbang, selalu dikasih musuh yang sudah, tidak adil, sistem buruk, karna sistem begini banyak yang menggunakan skrip/cheat biar bisa menang. mohon di perbaiki, padahal game sudah terkenal tapi sitem nya tidak adil untuk di in-game nya, selalu dikasih musuh yang jauh lebih handal",Negative
